/home/claude/prophezy/lib/document/services/document.service.ts: line 260, col 34, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/document/services/document.service.ts: line 270, col 29, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/flashcards/providers/ingestion.provider.ts: line 31, col 22, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/flashcards/providers/ingestion.provider.ts: line 32, col 20, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/flashcards/providers/ingestion.provider.ts: line 42, col 22, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/flashcards/providers/ingestion.provider.ts: line 43, col 20, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/flashcards/providers/ingestion.provider.ts: line 53, col 22, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/flashcards/providers/ingestion.provider.ts: line 54, col 20, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/flashcards/providers/ingestion.provider.ts: line 63, col 3, Warning - 'fileRef' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/flashcards/services/analytics.service.ts: line 18, col 3, Warning - 'TopicStrength' is defined but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/flashcards/services/analytics.service.ts: line 161, col 7, Error - 'cursor' is never reassigned. Use 'const' instead. (prefer-const)
/home/claude/prophezy/lib/hackathons/services/notification.service.ts: line 70, col 5, Warning - 'withinHours' is assigned a value but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/hackathons/services/provider.service.ts: line 8, col 53, Warning - 'failure' is defined but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/humanizer/services/search.service.ts: line 89, col 7, Error - 'queryBuilder' is never reassigned. Use 'const' instead. (prefer-const)
/home/claude/prophezy/lib/humanizer/utils/formatter.ts: line 20, col 14, Warning - 'i' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/humanizer/utils/readability-calculator.ts: line 72, col 7, Error - 'normalized' is never reassigned. Use 'const' instead. (prefer-const)
/home/claude/prophezy/lib/interview/analytics/analytics.service.ts: line 58, col 50, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/interview/analytics/analytics.service.ts: line 62, col 27, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/interview/export/report-loader.ts: line 31, col 34, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/interview/services/session.service.ts: line 204, col 25, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/interview/services/session.service.ts: line 219, col 26, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/interview/services/session.service.ts: line 233, col 28, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/notes/prompts/_factory.ts: line 23, col 29, Warning - 'NoteType' is defined but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/notes/services/notes.repository.supabase.ts: line 32, col 24, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/notes/services/notes.repository.supabase.ts: line 33, col 54, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/generator/generator.service.ts: line 27, col 76, Warning - 'userId' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/quiz/generator/generator.service.ts: line 53, col 31, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/generator/generator.service.ts: line 188, col 58, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/generator/generator.service.ts: line 221, col 58, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/grading/grading.service.ts: line 31, col 39, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/providers/supabase-quiz.provider.ts: line 191, col 31, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/providers/supabase-quiz.provider.ts: line 271, col 33, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/providers/supabase-quiz.provider.ts: line 283, col 26, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/providers/supabase-quiz.provider.ts: line 301, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/providers/supabase-quiz.provider.ts: line 323, col 29, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/providers/supabase-quiz.provider.ts: line 343, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/providers/supabase-quiz.provider.ts: line 358, col 27, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/search/search.service.ts: line 47, col 33, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/search/search.service.ts: line 59, col 33, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/search/search.service.ts: line 71, col 33, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/search/search.service.ts: line 83, col 33, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/search/search.service.ts: line 86, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/services/review.service.ts: line 44, col 31, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/services/review.service.ts: line 47, col 22, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/utils/scoring.ts: line 11, col 3, Warning - 'McqOption' is defined but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/quiz/utils/scoring.ts: line 31, col 46, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/quiz/utils/topic-analyzer.ts: line 105, col 66, Warning - 'topics' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/research/providers/arxiv/arxiv.parser.ts: line 28, col 10, Warning - 'extractArxivId' is defined but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/resume-studio/services/ats.service.ts: line 21, col 3, Warning - 'failure' is defined but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/resume-studio/services/docx-generator.service.ts: line 16, col 3, Warning - 'AlignmentType' is defined but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/resume-studio/services/parser.service.ts: line 47, col 27, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/resume-studio/services/parser.service.ts: line 70, col 44, Warning - 'pageCount' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)

94 problems
DONE
